gene_id,tot_exon_len,HOG,scaf_name,scaf_len,M_F_mode,chr_soft,chr_hard,Tpa_SF_HD_Md_Re1,Tpa_SF_HD_Md_Re2,Tpa_SF_HD_Md_Re3,Tpa_SF_LG_Md_Re1,Tpa_SF_LG_Md_Re2,Tpa_SF_LG_Md_Re3,Tpa_SF_RT_Md_Re1,Tpa_SF_RT_Md_Re2,Tpa_SF_RT_Md_Re3,Tpa_SF_WB_Md_Re1,Tpa_SF_WB_Md_Re2,Tpa_SF_WB_Md_Re3,Tpa_SM_HD_Md_Re1,Tpa_SM_HD_Md_Re2,Tpa_SM_HD_Md_Re3,Tpa_SM_LG_Md_Re1,Tpa_SM_LG_Md_Re2,Tpa_SM_LG_Md_Re3,Tpa_SM_RT_Md_Re1,Tpa_SM_RT_Md_Re2,Tpa_SM_RT_Md_Re3,Tpa_SM_WB_Md_Re1,Tpa_SM_WB_Md_Re2,Tpa_SM_WB_Md_Re3,lg_pos,gene_rel_midpoint,multi_lg,all_lg
TPA_00882,600,NA,5_Tpa_b3v08_scaf000779,59668,0.298101232817265,A,A,4,5,3,1,7,3,4,4,4,11,10,19,1,7,0,2,1,3,18,4,27,5,15,11,lg4,26771947,NO,lg4
TPA_00883,2728,HOG_14284,5_Tpa_b3v08_scaf000779,59668,0.298101232817265,A,A,24,23,7,15,33,17,63,73,128,61,90,126,12,34,6,7,16,14,34,28,68,22,121,84,lg4,26750686,NO,lg4
TPA_00884,2610,NA,5_Tpa_b3v08_scaf000626,63708,0.154002091132352,A,A,6,2,3,10,6,2,19,19,16,19,21,31,2,15,6,2,3,3,52,99,93,12,43,18,NA,NA,NA,NA
TPA_00885,350,HOG_6569,5_Tpa_b3v08_scaf000626,63708,0.154002091132352,A,A,0,9,6,12,12,23,127,136,225,33,21,43,10,12,6,11,15,15,85,82,119,24,43,53,NA,NA,NA,NA
TPA_00886,1197,HOG_20214,5_Tpa_b3v08_scaf000626,63708,0.154002091132352,A,A,28,76,92,56,107,137,560,646,942,178,122,303,74,94,76,108,92,90,485,508,653,136,232,232,NA,NA,NA,NA
TPA_00887,1023,HOG_22037,5_Tpa_b3v08_scaf000626,63708,0.154002091132352,A,A,47,56,51,42,49,66,214,184,166,79,91,87,51,77,63,45,73,44,158,144,143,103,88,109,NA,NA,NA,NA
TPA_00888,1281,NA,5_Tpa_b3v08_scaf002375,38713,0.0378460632433051,A,A,81,138,62,162,137,112,445,481,473,161,206,336,92,176,132,91,131,112,266,394,445,238,342,319,NA,NA,NA,NA
TPA_00889,423,NA,5_Tpa_b3v08_scaf002375,38713,0.0378460632433051,A,A,8,20,14,16,25,10,51,56,50,23,26,41,18,16,18,12,19,17,33,46,56,20,26,39,NA,NA,NA,NA
TPA_00890,192,NA,5_Tpa_b3v08_scaf002375,38713,0.0378460632433051,A,A,2,15,6,5,11,3,22,45,30,7,11,15,8,21,14,8,8,13,26,27,26,14,16,20,NA,NA,NA,NA
TPA_00891,1491,NA,5_Tpa_b3v08_scaf002375,38713,0.0378460632433051,A,A,231,370,278,404,494,430,883,1089,841,349,485,723,306,412,429,388,440,367,887,858,812,467,600,615,NA,NA,NA,NA
TPA_00892,1209,HOG_266,5_Tpa_b3v08_scaf003442,32219,-0.0981255018434394,A,A,68,114,106,134,111,163,800,713,741,255,372,336,89,132,131,92,93,102,211,217,233,176,346,168,NA,NA,NA,NA
TPA_00893,1832,NA,5_Tpa_b3v08_scaf003442,32219,-0.0981255018434394,A,A,45,132,47,22,18,22,183,85,168,199,287,280,11,61,45,17,25,13,54,149,170,108,273,251,NA,NA,NA,NA
TPA_00894,1747,NA,5_Tpa_b3v08_scaf004367,28147,-0.0828062265649228,A,A,243,307,298,198,279,311,365,388,323,269,373,468,407,489,625,354,374,388,642,602,698,567,461,463,NA,NA,NA,NA
TPA_00895,1836,NA,5_Tpa_b3v08_scaf004367,28147,-0.0828062265649228,A,A,0,19,2,1,27,1,2,53,3,14,48,108,0,0,0,0,0,1,20,51,37,69,178,39,NA,NA,NA,NA
TPA_00896,1620,NA,5_Tpa_b3v08_scaf004367,28147,-0.0828062265649228,A,A,38,37,32,49,45,46,170,188,157,83,77,356,37,55,44,40,50,64,2303,2279,2633,370,539,769,NA,NA,NA,NA
TPA_00897,7300,NA,5_Tpa_b3v08_scaf002527,37658,0.0141459700542482,A,A,1667,2381,1661,3276,3913,3122,3115,2955,2288,1152,1146,2165,1905,3211,2931,2370,3605,3313,1295,1767,1536,1821,2613,3160,NA,NA,NA,NA
TPA_00898,1440,NA,5_Tpa_b3v08_scaf002527,37658,0.0141459700542482,A,A,108,345,217,172,745,490,42,34,77,166,564,504,169,682,240,316,571,331,95,43,49,464,533,946,NA,NA,NA,NA
TPA_00899,451,NA,5_Tpa_b3v08_scaf002831,35566,0.0391818590692897,A,A,2,8,2,5,4,3,27,10,28,7,16,21,4,13,10,6,9,9,16,34,58,29,35,29,lg4,53590352,NO,lg4
TPA_00900,2496,NA,5_Tpa_b3v08_scaf002831,35566,0.0391818590692897,A,A,35,28,22,20,17,15,120,43,107,92,96,121,19,52,27,10,14,9,13,58,111,48,141,120,lg4,53579193,NO,lg4
TPA_00901,389,NA,5_Tpa_b3v08_scaf002831,35566,0.0391818590692897,A,A,21,64,34,57,74,45,79,81,54,50,79,62,36,47,41,32,41,51,55,71,77,64,95,75,lg4,53563526,NO,lg4
TPA_00902,1941,NA,5_Tpa_b3v08_scaf002229,39860,-0.0557417303097789,A,A,196,389,330,385,282,345,4828,4291,4975,1157,2789,1883,340,368,403,264,309,308,2494,2049,1973,635,2128,1276,lg3,13796132,NO,lg3
TPA_00903,1020,NA,5_Tpa_b3v08_scaf002229,39860,-0.0557417303097789,A,A,266,518,476,692,832,577,437,360,482,696,4163,1425,445,773,567,531,869,555,270,347,197,1043,707,937,lg3,13803177,NO,lg3
TPA_00904,874,HOG_23769,5_Tpa_b3v08_scaf002229,39860,-0.0557417303097789,A,A,73,69,111,129,115,145,365,315,395,133,121,222,66,115,104,106,106,114,235,231,237,164,163,163,lg3,13813631,NO,lg3
TPA_00905,1889,HOG_17948,5_Tpa_b3v08_scaf002229,39860,-0.0557417303097789,A,A,3,2,8,5,8,4,209,54,216,49,81,36,1,9,3,2,4,1,16,24,46,16,27,12,lg3,13822097,NO,lg3
TPA_00906,3362,HOG_10426,5_Tpa_b3v08_scaf002680,36537,-0.0612475406189908,A,A,27,32,25,64,67,58,165,196,229,113,154,382,44,35,34,54,33,67,1226,1350,1940,335,457,429,NA,NA,NA,NA
TPA_00907,520,NA,5_Tpa_b3v08_scaf002680,36537,-0.0612475406189908,A,A,18,4,12,6,7,11,57,25,67,17,20,33,8,8,16,7,7,11,206,205,166,47,46,111,NA,NA,NA,NA
TPA_00908,3775,HOG_8267,5_Tpa_b3v08_scaf000389,73408,0.258369835243649,A,A,501,711,608,750,762,697,1763,1387,1823,1100,1662,1952,735,1233,1014,589,884,665,916,791,843,1352,2167,1832,lg6,33767078,NO,lg6
TPA_00909,3624,NA,5_Tpa_b3v08_scaf001301,50214,0.0550669403548847,A,A,5,7,3,3,2,16,3488,2276,2380,342,706,565,3,3,97,38,7,112,4823,5279,8017,674,979,854,NA,NA,NA,NA
TPA_00910,1077,NA,5_Tpa_b3v08_scaf001273,50652,0.14028897093526,A,A,19,38,31,21,33,45,128,153,152,55,51,262,32,32,27,43,31,27,2337,2126,2528,389,444,662,lg4,53430282,NO,lg4
TPA_00911,558,NA,5_Tpa_b3v08_scaf001273,50652,0.14028897093526,A,A,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,69,50,35,3,4,12,lg4,53432333,NO,lg4
TPA_00912,985,NA,5_Tpa_b3v08_scaf001273,50652,0.14028897093526,A,A,101,157,114,141,198,199,337,313,312,142,155,229,140,235,190,141,187,158,433,417,439,216,231,254,lg4,53404429,NO,lg4
TPA_00913,4023,HOG_2201,5_Tpa_b3v08_scaf002002,41726,0.0129060513411847,A,A,1,14,8,3,2,9,4,22,14,39,65,691,1,7,13,1,2,21,3258,2760,2746,550,1154,1539,NA,NA,NA,NA
TPA_00914,2068,HOG_22740,5_Tpa_b3v08_scaf000440,70646,0.197875830272667,A,A,146,164,159,158,194,200,527,455,711,127,193,245,121,227,149,160,217,146,394,323,295,154,228,181,lg6,34014987,NO,lg6
TPA_00915,7683,NA,5_Tpa_b3v08_scaf000440,70646,0.197875830272667,A,A,206,259,317,332,334,390,1001,884,1056,244,207,479,306,426,383,309,421,425,356,376,397,239,356,361,lg6,34000184,NO,lg6
TPA_00916,1173,NA,5_Tpa_b3v08_scaf000440,70646,0.197875830272667,A,A,2,10,7,8,4,1,70,79,95,28,32,51,9,15,6,2,5,7,36,63,66,21,55,22,lg6,33978238,NO,lg6
TPA_00917,3737,NA,5_Tpa_b3v08_scaf003332,32763,0.143554832247479,A,A,46,53,66,14,13,13,6,6,7,7,28,27,62,54,137,10,8,18,35,71,144,18,23,74,lg4,75312053,NO,lg4
TPA_00918,5409,NA,5_Tpa_b3v08_scaf003332,32763,0.143554832247479,A,A,145,196,140,73,98,93,395,277,258,315,233,352,105,291,195,62,159,106,365,401,528,212,404,415,lg4,75293538,NO,lg4
TPA_00919,1798,NA,5_Tpa_b3v08_scaf001063,53908,0.108470148230674,A,A,41,62,56,56,71,105,274,275,279,84,103,319,78,95,61,92,76,57,3420,3785,4214,607,448,839,NA,NA,NA,NA
TPA_00920,420,HOG_2975,5_Tpa_b3v08_scaf001063,53908,0.108470148230674,A,A,230,226,305,303,263,375,2670,2871,3529,674,641,754,280,391,339,336,359,283,1733,1723,1064,439,743,601,NA,NA,NA,NA
TPA_00921,672,NA,5_Tpa_b3v08_scaf001063,53908,0.108470148230674,A,A,9,12,15,17,34,15,86,98,93,29,28,44,7,18,22,15,20,18,46,66,80,31,33,44,NA,NA,NA,NA
TPA_00922,1386,NA,5_Tpa_b3v08_scaf001063,53908,0.108470148230674,A,A,80,125,100,129,163,153,445,563,536,158,260,263,91,117,134,85,113,130,403,403,462,178,263,233,NA,NA,NA,NA
TPA_00923,5197,NA,5_Tpa_b3v08_scaf000208,87927,-0.696559225499253,X,A,936,4376,2623,64,157,67,3268,872,2749,6159,602,1224,4,7,4,2,4,5,34,15,5,13,4,6,lgX_ordNA_scaf2537,12370127,NO,lgX_ordNA_scaf2537
TPA_00924,5184,NA,5_Tpa_b3v08_scaf002401,38533,-0.0679270183779909,A,A,506,180,125,226,188,89,530,132,250,1179,698,1053,86,352,146,68,147,79,68,356,407,393,1248,1290,lg9,7955830,NO,lg9
TPA_00925,4495,NA,5_Tpa_b3v08_scaf002621,37018,0.169699091781516,A,A,45,43,53,188,310,101,42,11,19,78,92,138,82,73,62,45,97,109,261,200,658,84,249,237,NA,NA,NA,NA
TPA_00926,1494,NA,5_Tpa_b3v08_scaf000945,56385,0.0859231666834238,A,A,4,1,2,6,6,4,42,22,38,25,31,11,7,10,8,4,6,6,16,5,25,7,15,24,NA,NA,NA,NA
TPA_00927,4197,NA,5_Tpa_b3v08_scaf000945,56385,0.0859231666834238,A,A,265,235,331,382,341,411,401,298,428,303,292,496,264,331,331,448,415,396,535,480,675,243,668,480,NA,NA,NA,NA
TPA_00928,1016,NA,5_Tpa_b3v08_scaf000945,56385,0.0859231666834238,A,A,162,249,243,212,434,334,477,406,513,183,253,317,320,264,370,317,189,397,261,217,257,217,324,284,NA,NA,NA,NA
TPA_00929,2313,HOG_13874,5_Tpa_b3v08_scaf000178,90959,0.169228907667551,A,A,5,8,7,3,1,1,9,3,5,27,23,69,2,1,5,1,0,1,270,471,101,62,81,65,NA,NA,NA,NA
TPA_00930,1926,HOG_17080,5_Tpa_b3v08_scaf000178,90959,0.169228907667551,A,A,23,30,7,44,37,8,281,195,145,50,38,58,9,36,10,9,24,15,116,175,188,46,55,54,NA,NA,NA,NA
TPA_00931,693,NA,5_Tpa_b3v08_scaf000178,90959,0.169228907667551,A,A,1,7,3,4,8,6,14,24,39,11,6,19,4,11,6,2,6,2,42,41,38,16,14,4,NA,NA,NA,NA
TPA_00932,1104,NA,5_Tpa_b3v08_scaf000825,58489,-0.825582831342171,X,X,2,0,1,0,1,2,2,3,6,2,0,3,1,4,0,0,1,1,0,1,0,1,2,0,NA,NA,NA,NA
TPA_00933,4524,NA,5_Tpa_b3v08_scaf000825,58489,-0.825582831342171,X,X,7,4,0,0,0,0,1,1,4,0,2,1,3,3,2,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA
TPA_00934,912,NA,5_Tpa_b3v08_scaf000352,75506,0.122623972144651,A,A,7,11,1,3,19,5,22,43,2,22,15,34,4,11,16,5,5,12,32,46,49,14,19,48,lg6,20303556,NO,lg6
TPA_00935,354,NA,5_Tpa_b3v08_scaf000352,75506,0.122623972144651,A,A,25,35,26,29,27,49,75,70,90,37,32,51,34,35,35,42,44,41,102,97,97,62,45,71,lg6,20349449,NO,lg6
TPA_00936,2238,NA,5_Tpa_b3v08_scaf000352,75506,0.122623972144651,A,A,34,43,52,62,64,47,162,147,136,58,49,110,58,61,58,36,49,45,380,399,576,104,158,198,lg6,20361670,NO,lg6
TPA_00937,2866,NA,5_Tpa_b3v08_scaf007594,19401,-0.160089515572707,A,A,431,951,448,1546,2947,1083,39,87,108,424,1322,760,516,1105,880,1072,2365,1533,94,86,184,1056,531,1289,NA,NA,NA,NA
TPA_00938,2055,HOG_16452,5_Tpa_b3v08_scaf007594,19401,-0.160089515572707,A,A,342,204,240,460,315,343,777,461,538,529,567,500,293,371,469,305,448,441,274,363,343,434,437,518,NA,NA,NA,NA
TPA_00939,363,NA,5_Tpa_b3v08_scaf007234,20134,-0.157865789517051,A,A,0,1,0,0,0,0,1,0,1,3,0,2,0,2,0,1,0,0,2,10,16,7,6,4,NA,NA,NA,NA
TPA_00940,1548,HOG_18012,5_Tpa_b3v08_scaf007234,20134,-0.157865789517051,A,A,28,86,68,94,96,87,392,398,451,117,181,194,57,83,75,61,76,73,466,553,557,153,225,223,NA,NA,NA,NA
TPA_00941,1883,NA,5_Tpa_b3v08_scaf007234,20134,-0.157865789517051,A,A,55,134,130,96,126,147,461,523,702,200,303,299,116,156,172,113,169,167,337,400,499,201,335,217,NA,NA,NA,NA
TPA_00942,375,NA,5_Tpa_b3v08_scaf007234,20134,-0.157865789517051,A,A,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,145,0,15,12,2,2,NA,NA,NA,NA
TPA_00943,3488,NA,5_Tpa_b3v08_scaf005637,23972,-0.0775573631380383,A,A,1,6,3,0,1,0,1,0,1,0,18,5,1,6,6,1,2,1,3,4,1,10,15,5,lg2,25915095,NO,lg2
TPA_00944,1539,NA,5_Tpa_b3v08_scaf005637,23972,-0.0775573631380383,A,A,44,64,63,94,73,81,17,10,16,32,73,105,36,74,119,72,76,98,37,20,23,88,70,55,lg2,25904059,NO,lg2
TPA_00945,1476,NA,5_Tpa_b3v08_scaf005614,24038,-0.034820320915634,A,A,0,1,0,0,0,0,0,17,2,277,160,157,0,0,0,1,0,0,8,10,9,14,202,201,NA,NA,NA,NA
TPA_00946,354,NA,5_Tpa_b3v08_scaf005614,24038,-0.034820320915634,A,A,0,0,0,0,0,0,1,1,0,22,4,6,0,0,1,0,0,0,0,0,1,4,10,28,NA,NA,NA,NA
TPA_00947,918,NA,5_Tpa_b3v08_scaf005614,24038,-0.034820320915634,A,A,0,0,0,0,0,0,0,0,1,17,38,43,0,0,0,1,0,0,75,29,80,3,77,315,NA,NA,NA,NA
TPA_00948,4073,HOG_19485,5_Tpa_b3v08_scaf001263,50848,0.139065476236172,A,A,512,715,1021,1327,1120,1467,1036,845,935,343,702,1197,1102,1151,1065,1064,1205,1184,964,885,969,935,1194,1335,NA,NA,NA,NA
TPA_00949,1659,NA,5_Tpa_b3v08_scaf001263,50848,0.139065476236172,A,A,8,12,19,2,8,8,54,33,35,11,15,49,7,18,13,7,22,7,305,339,402,82,53,94,NA,NA,NA,NA
TPA_00950,514,NA,5_Tpa_b3v08_scaf005423,24574,-0.0629788889453388,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
TPA_00951,600,NA,5_Tpa_b3v08_scaf005423,24574,-0.0629788889453388,A,A,11,5,2,9,4,9,13,14,7,39,36,26,7,12,10,1,5,2,29,82,111,25,62,61,NA,NA,NA,NA
TPA_00952,2178,NA,5_Tpa_b3v08_scaf005423,24574,-0.0629788889453388,A,A,48,16,18,24,34,8,78,21,15,115,112,141,22,28,15,8,5,5,72,238,415,134,155,217,NA,NA,NA,NA
TPA_00953,2423,NA,5_Tpa_b3v08_scaf003438,32240,0.139567177545064,A,A,15,23,9,7,17,13,4,24,11,22,1,21,32,41,57,12,14,15,76,158,153,34,21,38,NA,NA,NA,NA
TPA_00954,2039,NA,5_Tpa_b3v08_scaf003438,32240,0.139567177545064,A,A,91,164,125,184,191,165,854,801,864,280,369,333,175,223,227,126,180,157,456,557,636,284,444,331,NA,NA,NA,NA
TPA_00955,851,NA,5_Tpa_b3v08_scaf003438,32240,0.139567177545064,A,A,0,3,2,1,0,2,15,4,11,15,24,31,5,6,5,0,6,1,34,77,98,19,50,32,NA,NA,NA,NA
TPA_00956,3507,NA,5_Tpa_b3v08_scaf004746,26743,-0.0386259247842774,A,A,430,177,141,437,277,233,141,88,109,338,492,988,124,361,227,122,387,244,65,136,237,319,1425,1334,NA,NA,NA,NA
TPA_00957,1398,NA,5_Tpa_b3v08_scaf004746,26743,-0.0386259247842774,A,A,462,469,417,1300,924,1071,202,195,269,199,322,895,397,760,621,707,1289,1046,119,137,195,423,1404,931,NA,NA,NA,NA
TPA_00958,783,HOG_19548,5_Tpa_b3v08_scaf002719,36284,0.118743360695655,A,A,106,159,152,140,125,210,348,323,335,135,326,320,125,207,204,114,132,115,615,563,649,245,392,294,lg3,90894875,NO,lg3
TPA_00959,1517,NA,5_Tpa_b3v08_scaf002719,36284,0.118743360695655,A,A,694,1018,794,917,1213,1066,1700,1934,1546,934,903,1148,803,1376,1034,946,1384,909,1616,1249,1238,1282,1048,1670,lg3,90904514,NO,lg3
TPA_00960,471,NA,5_Tpa_b3v08_scaf002719,36284,0.118743360695655,A,A,44,71,67,85,69,109,382,349,466,114,294,219,60,50,89,70,54,67,338,215,332,151,156,155,lg3,90914803,NO,lg3
TPA_00961,1350,NA,5_Tpa_b3v08_scaf003655,31138,0.112236963865367,A,A,157,192,267,367,293,560,665,418,827,383,494,641,280,340,355,420,403,480,515,538,578,561,571,811,NA,NA,NA,NA
TPA_00962,798,NA,5_Tpa_b3v08_scaf003655,31138,0.112236963865367,A,A,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0,0,0,1,16,3,7,4,1,5,NA,NA,NA,NA
TPA_00963,3528,NA,5_Tpa_b3v08_scaf004200,28789,-0.765150659345593,X,X,47,73,50,111,157,109,88,42,40,72,114,167,45,129,92,60,149,134,9,4,9,102,218,155,NA,NA,NA,NA
TPA_00964,552,NA,5_Tpa_b3v08_scaf004200,28789,-0.765150659345593,X,X,6,3,1,6,5,1,4,0,2,7,12,16,0,3,1,0,2,1,0,0,0,5,13,11,NA,NA,NA,NA
TPA_00965,795,NA,5_Tpa_b3v08_scaf004715,26825,0.0980605338926548,A,A,21,29,17,25,16,22,186,145,160,73,73,50,27,30,37,19,23,21,77,161,112,52,44,24,NA,NA,NA,NA
TPA_00966,936,NA,5_Tpa_b3v08_scaf004715,26825,0.0980605338926548,A,A,30,35,36,28,21,51,190,146,191,125,85,71,39,61,39,37,46,29,129,237,169,54,60,56,NA,NA,NA,NA
TPA_00967,953,NA,5_Tpa_b3v08_scaf004715,26825,0.0980605338926548,A,A,104,169,153,202,147,198,534,544,376,293,338,313,167,209,220,166,200,171,397,372,432,362,355,351,NA,NA,NA,NA
TPA_00968,1053,HOG_16305,5_Tpa_b3v08_scaf004715,26825,0.0980605338926548,A,A,0,0,2,1,0,1,1,3,0,0,2,49,2,3,3,0,1,0,285,236,315,47,80,127,NA,NA,NA,NA
TPA_00969,522,NA,5_Tpa_b3v08_scaf002616,37051,-0.800908679369209,X,X,8,4,12,6,9,10,37,71,27,17,16,27,21,16,18,14,22,21,15,12,14,23,34,40,NA,NA,NA,NA
TPA_00970,1692,NA,5_Tpa_b3v08_scaf002616,37051,-0.800908679369209,X,X,3,4,3,1,4,0,26,10,17,20,22,34,2,11,6,5,2,3,7,6,6,6,20,9,NA,NA,NA,NA
TPA_00971,979,NA,5_Tpa_b3v08_scaf002616,37051,-0.800908679369209,X,X,1,0,1,3,0,0,6,3,3,12,5,10,2,1,0,0,0,0,1,3,6,3,4,5,NA,NA,NA,NA
TPA_00972,3132,NA,5_Tpa_b3v08_scaf002145,40496,0.174917379856569,A,A,2,0,1,4,2,4,84,27,46,20,34,113,3,3,38,6,0,31,644,648,1022,279,204,332,NA,NA,NA,NA
TPA_00973,1122,NA,5_Tpa_b3v08_scaf000694,61758,-0.132620930970626,A,A,23,37,28,141,102,118,0,1,3,35,173,193,108,62,86,109,79,138,32,17,0,96,172,92,NA,NA,NA,NA
TPA_00974,2196,NA,5_Tpa_b3v08_scaf000694,61758,-0.132620930970626,A,A,27,20,52,263,66,85,7,7,6,78,177,232,79,61,162,60,42,89,8,10,6,164,262,174,NA,NA,NA,NA
TPA_00975,1242,NA,5_Tpa_b3v08_scaf000694,61758,-0.132620930970626,A,A,29,22,40,79,51,69,1,0,1,41,198,107,82,103,70,64,32,62,1,1,0,71,77,86,NA,NA,NA,NA
TPA_00976,701,NA,5_Tpa_b3v08_scaf001425,48243,-0.732230704392937,X,X,0,0,0,0,0,0,0,0,0,6,3,4,0,1,0,0,0,0,0,2,25,1,6,4,NA,NA,NA,NA
TPA_00977,3255,NA,5_Tpa_b3v08_scaf001425,48243,-0.732230704392937,X,X,15,66,14,2,4,1,9,3,1,141,76,205,12,28,19,0,1,1,63,197,689,36,173,161,NA,NA,NA,NA
TPA_00978,3814,NA,5_Tpa_b3v08_scaf002082,41021,0.0678559664856829,A,A,16,27,24,32,32,35,187,139,177,131,120,151,19,58,39,21,39,37,296,583,589,144,197,182,NA,NA,NA,NA
TPA_00979,546,HOG_678,5_Tpa_b3v08_scaf002082,41021,0.0678559664856829,A,A,114,61,52,119,92,90,394,354,352,86,115,216,81,68,65,65,73,53,272,277,227,97,226,190,NA,NA,NA,NA
TPA_00980,645,NA,5_Tpa_b3v08_scaf003607,31413,-0.0103898334414928,A,A,8,15,15,6,13,10,4,8,9,77,35,52,19,39,30,14,45,17,29,28,50,40,38,205,NA,NA,NA,NA
TPA_00981,1359,NA,5_Tpa_b3v08_scaf003607,31413,-0.0103898334414928,A,A,45,47,62,37,59,85,7,22,25,232,100,149,83,201,112,82,299,69,139,135,142,145,214,774,NA,NA,NA,NA
TPA_00982,2127,NA,5_Tpa_b3v08_scaf003607,31413,-0.0103898334414928,A,A,134,282,282,314,360,244,603,718,621,400,533,519,177,288,328,166,252,225,398,493,561,316,477,327,NA,NA,NA,NA
TPA_00983,1714,NA,5_Tpa_b3v08_scaf000973,55841,0.159805681613359,A,A,5,4,9,3,3,12,69,28,95,19,31,48,10,9,15,7,9,10,301,186,399,105,82,75,NA,NA,NA,NA
TPA_00984,1881,HOG_19281,5_Tpa_b3v08_scaf000973,55841,0.159805681613359,A,A,54,78,43,22,55,51,125,118,118,73,95,159,55,51,62,32,42,27,662,562,791,230,150,245,NA,NA,NA,NA
TPA_00985,1074,NA,5_Tpa_b3v08_scaf000973,55841,0.159805681613359,A,A,8,9,12,5,8,11,35,30,58,18,45,59,15,15,20,12,12,13,120,129,110,35,76,41,NA,NA,NA,NA
TPA_00986,570,NA,5_Tpa_b3v08_scaf000592,64274,0.126804991857162,A,A,27,42,27,38,50,42,148,121,135,59,69,86,27,52,30,20,50,27,121,291,143,60,108,102,NA,NA,NA,NA
TPA_00987,246,NA,5_Tpa_b3v08_scaf000592,64274,0.126804991857162,A,A,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
TPA_00988,4698,NA,5_Tpa_b3v08_scaf000592,64274,0.126804991857162,A,A,44,57,48,69,65,63,134,102,158,62,69,162,71,97,49,70,101,77,503,321,532,99,178,150,NA,NA,NA,NA
TPA_00989,759,NA,5_Tpa_b3v08_scaf000592,64274,0.126804991857162,A,A,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,3,8,3,2,4,NA,NA,NA,NA
TPA_00990,2580,NA,5_Tpa_b3v08_scaf000056,126510,-0.62257475018724,X,A,4,3,4,8,4,3,17,7,7,20,7,13,9,3,2,4,6,1,7,12,44,7,22,12,lgX_ordNA_scaf1319,5097107,NO,lgX_ordNA_scaf1319
TPA_00991,1204,NA,5_Tpa_b3v08_scaf000056,126510,-0.62257475018724,X,A,10,16,8,10,15,11,8,6,6,79,24,17,22,24,21,17,12,4,7,5,17,12,15,15,lgX_ordNA_scaf1319,5190885,NO,lgX_ordNA_scaf1319
TPA_00992,4212,NA,5_Tpa_b3v08_scaf000604,64168,0.203452972950964,A,A,106,67,77,63,62,45,182,120,105,273,200,394,82,203,97,70,86,61,108,290,299,209,483,607,NA,NA,NA,NA
TPA_00993,882,NA,5_Tpa_b3v08_scaf000060,122037,0.138172418603266,A,A,3,2,2,0,0,2,3,3,4,2,5,18,3,3,4,3,2,1,14,17,11,4,3,6,lg4,25243910,NO,lg4
TPA_00994,2196,NA,5_Tpa_b3v08_scaf000060,122037,0.138172418603266,A,A,15,15,15,2,24,23,90,75,66,53,54,47,22,38,47,29,30,40,28,59,42,69,69,108,lg4,25325868,NO,lg4
TPA_00995,3459,NA,5_Tpa_b3v08_scaf003539,31784,-0.088578013453768,A,A,130,163,126,178,83,51,304,46,76,245,436,511,134,290,301,35,91,164,40,215,206,425,769,764,NA,NA,NA,NA
TPA_00996,1266,NA,5_Tpa_b3v08_scaf003539,31784,-0.088578013453768,A,A,49,73,38,71,30,13,159,14,21,117,183,206,48,99,110,3,16,39,13,96,94,152,289,313,NA,NA,NA,NA
TPA_00997,1516,NA,5_Tpa_b3v08_scaf000571,65072,0.196879895206439,A,A,0,71,6,5,57,13,18,190,51,4,4,34,1,13,3,4,4,8,230,300,241,58,48,41,NA,NA,NA,NA
TPA_00998,11596,HOG_19421,5_Tpa_b3v08_scaf000571,65072,0.196879895206439,A,A,308,434,337,560,827,412,983,694,608,536,409,739,406,528,483,369,579,424,1204,1361,2895,460,848,865,NA,NA,NA,NA
TPA_00999,3663,NA,5_Tpa_b3v08_scaf003616,31383,0.0181017549373809,A,A,38,44,14,37,61,25,115,80,96,121,75,156,14,51,46,12,29,18,62,135,154,76,193,162,NA,NA,NA,NA
TPA_01000,3586,NA,5_Tpa_b3v08_scaf005871,23345,0.087472118332982,A,A,25,20,22,27,25,55,256,151,169,1768,2910,3549,87,3958,83,129,138,79,31,20,24,4173,2049,4115,NA,NA,NA,NA
TPA_01001,399,NA,5_Tpa_b3v08_scaf001561,46533,0.0735831319370445,A,A,90,127,74,111,132,113,242,228,246,114,126,164,114,146,135,99,118,108,239,249,180,146,179,134,NA,NA,NA,NA
TPA_01002,1011,NA,5_Tpa_b3v08_scaf001561,46533,0.0735831319370445,A,A,4,2,4,6,3,2,14,6,11,5,9,22,3,7,4,0,7,0,10,10,18,2,17,17,NA,NA,NA,NA
TPA_01003,1281,NA,5_Tpa_b3v08_scaf001561,46533,0.0735831319370445,A,A,4,3,1,4,4,3,12,4,3,9,9,20,0,7,3,0,1,1,4,19,19,7,20,18,NA,NA,NA,NA
TPA_01004,1110,NA,5_Tpa_b3v08_scaf001908,42698,-0.758766598117498,X,X,17,25,24,20,36,30,39,43,49,43,31,63,22,43,20,21,37,23,12,11,16,28,21,47,NA,NA,NA,NA
